Timestamp,SensorName,ContactID,ContactIndex,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ,Fx,Fy,Fz,ForceMagnitude,ForceAlongNormal
6.4833,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3374,2.3374,-2.3374
6.4833,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3323,2.3323,-2.3323
6.4833,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5676,2.5676,-2.5676
6.6667,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
6.6667,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
6.6667,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
6.6667,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
6.8500,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
6.8500,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
6.8500,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
6.8500,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
7.0333,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5730,2.5730,-2.5730
7.0333,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3371,2.3371,-2.3371
7.0333,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3319,2.3319,-2.3319
7.0333,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5679,2.5679,-2.5679
7.2167,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5731,2.5731,-2.5731
7.2167,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3370,2.3370,-2.3370
7.2167,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3319,2.3319,-2.3319
7.2167,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5679,2.5679,-2.5679
7.4000,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5730,2.5730,-2.5730
7.4000,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3371,2.3371,-2.3371
7.4000,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3320,2.3320,-2.3320
7.4000,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5679,2.5679,-2.5679
7.5833,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5730,2.5730,-2.5730
7.5833,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3371,2.3371,-2.3371
7.5833,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3320,2.3320,-2.3320
7.5833,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5679,2.5679,-2.5679
7.7667,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
7.7667,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3369,2.3369,-2.3369
7.7667,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
7.7667,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5681,2.5681,-2.5681
7.9500,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
7.9500,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
7.9500,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
